belongs_to_collection,budget,id,original_language,overview,production_companies,revenue,runtime,tagline,title,vote_average,vote_count,release_month,release_day,spoken_lang_en,spoken_lang_fr,spoken_lang_de,spoken_lang_es,spoken_lang_it,spoken_lang_ja,spoken_lang_ru,spoken_lang_other,genre_Drama,genre_Comedy,genre_Thriller,genre_Romance,genre_Action,genre_Horror,genre_Crime,genre_other,production_US,production_GB,production_FR,production_DE,production_IT,production_CA,production_JP,production_other
-1,98000000,1408,en,"['morgan', 'adam', 'slave', 'william', 'shaw', 'quest', 'recover', 'three', 'portion', 'treasure', 'map', 'unfortunately', 'final', 'portion', 'held', 'murderous', 'uncle', 'dawg', 'crew', 'skeptical', 'leadership', 'ability', 'must', 'complete', 'quest', 'mutiny', 'made', 'yet', 'difficult', 'effort', 'british', 'crown', 'end', 'pirate', 'raid']",993,10017322.0,119.0,"['course', 'set', 'turning', 'back', 'prepare', 'weapon', 'summon', 'courage', 'discover', 'adventure', 'lifetime']","['cutthroat', 'island']",5.7,137.0,12.0,Friday,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0
-1,52000000,524,en,"['life', 'gambling', 'paradise', 'la', 'vega', 'dark', 'mafia', 'underbelly']",819,116112375.0,178.0,"['one', 'stay', 'top', 'forever']",['casino'],7.8,1343.0,11.0,Wednesday,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
-1,16500000,4584,en,"['rich', 'mr', 'dashwood', 'dy', 'leaving', 'second', 'wife', 'daughter', 'poor', 'rule', 'inheritance', 'two', 'daughter', 'titular', 'opposite']",427,135000000.0,136.0,"['lose', 'heart', 'come', 'sens']","['sense', 'sensibility']",7.2,364.0,12.0,Wednesday,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
-1,4000000,5,en,"['ted', 'bellhop', 'first', 'night', 'joband', 'hotel', 'unusual', 'guest', 'place', 'outrageous', 'predicament', 'seems', 'evening', 'room', 'service', 'serving', 'one', 'unbelievable', 'happening', 'another']",182,4300000.0,98.0,"['twelve', 'outrageous', 'guest', 'four', 'scandalous', 'request', 'one', 'lone', 'bellhop', 'first', 'day', 'job', 'wildest', 'new', 'year', 'eve', 'life']","['four', 'room']",6.5,539.0,12.0,Saturday,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
3167,30000000,9273,en,"['summoned', 'ashram', 'tibet', 'ace', 'find', 'perilous', 'journey', 'jungle', 'africa', 'find', 'shikaka', 'missing', 'sacred', 'animal', 'friendly', 'wachati', 'tribe', 'must', 'accomplish', 'wedding', 'wachatis', 'princess', 'prince', 'warrior', 'wachootoos', 'ace', 'fails', 'result', 'vicious', 'tribal', 'war']",1184,212385533.0,90.0,"['new', 'animal', 'new', 'adventure', 'hair']","['ace', 'ventura', 'nature', 'call']",6.1,1128.0,11.0,Friday,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
-1,60000000,11517,en,"['vengeful', 'new', 'york', 'transit', 'cop', 'decides', 'steal', 'trainload', 'subway', 'fare', 'foster', 'brother', 'fellow', 'cop', 'try', 'protect']",420,35431113.0,103.0,"['get', 'get', 'way']","['money', 'train']",5.4,224.0,11.0,Tuesday,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
91698,30250000,8012,en,"['chili', 'palmer', 'miami', 'mobster', 'get', 'sent', 'bos', 'psychopathic', 'bone', 'barboni', 'collect', 'bad', 'debt', 'harry', 'zimm', 'hollywood', 'producer', 'specializes', 'cheesy', 'horror', 'film', 'chili', 'meet', 'harrys', 'leading', 'lady', 'romantic', 'spark', 'fly', 'pitching', 'life', 'story', 'movie', 'idea', 'chili', 'learns', 'mobster', 'hollywood', 'producer', 'really', 'different']",993,115101622.0,105.0,"['mob', 'tough', 'nothing', 'like', 'show', 'business']","['get', 'shorty']",6.4,305.0,10.0,Friday,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
-1,50000000,9691,en,"['assassin', 'robert', 'rath', 'arrives', 'funeral', 'kill', 'prominent', 'mobster', 'witness', 'rival', 'hired', 'gun', 'complete', 'job', 'grisly', 'result', 'horrified', 'murder', 'innocent', 'bystander', 'rath', 'decides', 'take', 'one', 'last', 'job', 'return', 'civilian', 'life', 'finding', 'way', 'world', 'contract', 'killing', 'grows', 'ever', 'dangerous', 'rath', 'fall', 'female', 'target', 'becomes', 'marked', 'man']",1184,30303072.0,132.0,"['shadow', 'life', 'business', 'death', 'one', 'man', 'found', 'reason', 'live']",['assassin'],6.0,394.0,10.0,Friday,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0
-1,3600000,451,en,"['ben', 'sanderson', 'alcoholic', 'hollywood', 'screenwriter', 'lost', 'everything', 'drinking', 'arrives', 'la', 'vega', 'drink', 'death', 'meet', 'form', 'uneasy', 'friendship', 'noninterference', 'pact', 'prostitute', 'serum']",270,49800000.0,112.0,"['love', 'way']","['leaving', 'la', 'vega']",7.1,365.0,10.0,Friday,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
-1,12000000,9263,en,"['waxing', 'nostalgic', 'bittersweet', 'passage', 'childhood', 'puberty', 'tender', 'comingofage', 'tale', 'four', 'childhood', 'girlfriend', 'teeny', 'chrissy', 'samantha', 'roberta', 'recall', 'magical', 'summer', '1970', 'walk', 'memory', 'lane', 'reconcile', 'experience', 'boy', 'secret', 'bully']",277,27400000.0,100.0,"['every', 'woman', 'girl', 'left', 'behind']",[],6.6,91.0,10.0,Friday,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
-1,18000000,902,fr,"['scientist', 'surrealist', 'society', 'kidnaps', 'child', 'steal', 'dream', 'hoping', 'slow', 'aging', 'process']",161,1738611.0,108.0,"['happily', 'ever', 'dream']","['city', 'lost', 'child']",7.6,308.0,5.0,Tuesday,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
-1,0,9909,en,"['former', 'marine', 'louanne', 'johnson', 'land', 'gig', 'teaching', 'pilot', 'program', 'bright', 'underachieving', 'teen', 'notorious', 'innercity', 'high', 'school', 'terrible', 'first', 'day', 'decides', 'must', 'throw', 'decorum', 'wind', 'johnson', 'return', 'classroom', 'armed', 'nononsense', 'attitude', 'informed', 'military', 'training', 'fearless', 'determination', 'better', 'life', 'student', 'matter', 'cost']",83,180000000.0,99.0,"['broke', 'rule', 'changed', 'life']","['dangerous', 'mind']",6.4,249.0,8.0,Friday,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
-1,29500000,63,en,"['year', '2035', 'convict', 'james', 'cole', 'reluctantly', 'volunteer', 'sent', 'back', 'time', 'discover', 'origin', 'deadly', 'virus', 'wiped', 'nearly', 'earth', 'population', 'forced', 'survivor', 'underground', 'community', 'cole', 'mistakenly', 'sent', '1990', 'instead', '1996', 'he', 'arrested', 'locked', 'mental', 'hospital', 'meet', 'psychiatrist', 'dr', 'kathryn', 'railly', 'patient', 'jeffrey', 'goines', 'son', 'famous', 'virus', 'expert', 'may', 'hold', 'key', 'mysterious', 'rogue', 'group', 'army', '12', 'monkey', 'thought', 'responsible', 'unleashing', 'killer', 'disease']",819,168840000.0,129.0,"['future', 'history']","['twelve', 'monkey']",7.4,2470.0,12.0,Friday,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
9435,30000000,9598,en,"['babe', 'little', 'pig', 'quite', 'know', 'place', 'world', 'bunch', 'odd', 'friend', 'like', 'ferdinand', 'duck', 'think', 'rooster', 'fly', 'dog', 'call', 'mom', 'babe', 'realizes', 'making', 'become', 'greatest', 'sheep', 'pig', 'time', 'farmer', 'hogget', 'know', 'help', 'sheep', 'dog', 'babe', 'learns', 'pig', 'anything', 'want']",819,254134910.0,89.0,"['little', 'pig', 'go', 'long', 'way']",['babe'],6.0,756.0,7.0,Tuesday,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
-1,11000000,687,en,"['justice', 'drama', 'based', 'true', 'story', 'man', 'death', 'row', 'last', 'day', 'form', 'strong', 'relationship', 'nun', 'teach', 'forgiveness', 'give', 'spirituality', 'accompanies', 'execution', 'susan', 'sarandon', 'oscar', 'best', 'female', 'actress', 'convincing', 'portrayal', 'sister', 'helen', 'prejean']",86,39363635.0,122.0,[],"['dead', 'man', 'walking']",7.3,350.0,12.0,Friday,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
-1,0,34615,en,"['southafrican', 'preacher', 'go', 'search', 'wayward', 'son', 'committed', 'crime', 'big', 'city']",28,676525.0,106.0,[],"['cry', 'beloved', 'country']",6.7,13.0,12.0,Friday,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9818,18000000,9312,en,"['nine', 'generation', 'evil', 'sorcerer', 'victorious', 'handtohand', 'battle', 'mortal', 'enemy', 'win', 'tenth', 'mortal', 'kombat', 'tournament', 'desolation', 'evil', 'reign', 'multiverse', 'forever', 'save', 'earth', 'three', 'warrior', 'must', 'overcome', 'seemingly', 'insurmountable', 'odds', 'inner', 'demon', 'superhuman', 'foe', 'actionadventure', 'movie', 'based', 'one', 'popular', 'video', 'game', 'time']",277,122195920.0,101.0,"['nothing', 'world', 'prepared']","['mortal', 'kombat']",5.4,452.0,8.0,Friday,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
-1,20000000,577,en,"['susan', 'want', 'work', 'television', 'therefore', 'anything', 'take', 'even', 'mean', 'killing', 'husband', 'dark', 'comedy', 'independent', 'director', 'gu', 'van', 'sant', 'brilliant', 'nicole', 'kidman', 'leading', 'role']",427,21284514.0,106.0,"['wanted', 'little', 'attention']",['die'],6.7,177.0,5.0,Saturday,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
-1,10000000,11861,en,"['soontobewed', 'graduate', 'student', 'finn', 'dodd', 'develops', 'cold', 'foot', 'suspect', 'fiancé', 'cheating', 'order', 'clear', 'head', 'finn', 'visit', 'grandmother', 'hy', 'great', 'aunt', 'glady', 'joe', 'cleary', 'grasse', 'calif', 'finn', 'learns', 'hy', 'glady', 'joe', 'member', 'group', 'passionate', 'quilters', 'course', 'visit', 'regaled', 'tale', 'love', 'life', 'woman', 'collected', 'rich', 'experience', 'much', 'wisdom']",819,23574130.0,116.0,"['beauty', 'pattern', 'life']","['make', 'american', 'quilt']",6.5,38.0,10.0,Friday,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
-1,33000000,807,en,"['two', 'homicide', 'detective', 'desperate', 'hunt', 'serial', 'killer', 'whose', 'crime', 'based', 'seven', 'deadly', 'sin', 'dark', 'haunting', 'film', 'take', 'viewer', 'tortured', 'remains', 'one', 'victim', 'next', 'seasoned', 'det', 'sommerset', 'research', 'sin', 'effort', 'get', 'inside', 'killer', 'mind', 'novice', 'partner', 'mill', 'scoff', 'effort', 'unravel', 'case']",277,327311859.0,127.0,"['seven', 'deadly', 'sin', 'seven', 'way', 'die']",['se7en'],8.1,5915.0,9.0,Friday,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
136214,55000000,10530,en,"['history', 'come', 'gloriously', 'life', 'disney', 'epic', 'animated', 'tale', 'love', 'adventure', 'new', 'world', 'pocahontas', 'native', 'american', 'woman', 'whose', 'father', 'arranged', 'marry', 'village', 'best', 'warrior', 'vision', 'tell', 'change', 'coming', 'soon', 'come', 'face', 'face', 'form', 'capt', 'john', 'smith']",261,346079773.0,81.0,"['american', 'legend', 'come', 'life']",['pocahontas'],6.7,1509.0,6.0,Wednesday,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
-1,6000000,629,en,"['held', 'la', 'interrogation', 'room', 'verbal', 'kint', 'attempt', 'convince', 'fed', 'mythic', 'crime', 'lord', 'keyser', 'soze', 'exists', 'also', 'responsible', 'drawing', 'four', 'partner', 'multimillion', 'dollar', 'heist', 'ended', 'explosion', 'san', 'pedro', 'harbor', 'leaving', 'survivor', 'verbal', 'lure', 'interrogator', 'incredible', 'story', 'crime', 'lord', 'almost', 'supernatural', 'prowess']",16,23341568.0,106.0,"['five', 'criminal', 'one', 'line', 'coincidence']","['usual', 'suspect']",8.1,3334.0,7.0,Wednesday,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
-1,15000000,11448,en,"['lenny', 'wife', 'amanda', 'adopt', 'baby', 'lenny', 'realizes', 'son', 'genius', 'becomes', 'obsessed', 'finding', 'boy', 'biological', 'mother', 'hope', 'brilliant', 'learns', 'max', 'mother', 'linda', 'ash', 'kindhearted', 'prostitute', 'porn', 'star', 'lenny', 'determined', 'reform', 'immoral', 'lifestyle', 'greek', 'chorus', 'chime', 'relate', 'plot', 'greek', 'mythology', 'quirky', 'comedy']",182,6700000.0,95.0,[],"['mighty', 'aphrodite']",6.7,145.0,9.0,Wednesday,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
-1,0,9089,en,"['losing', 'job', 'making', 'soon', 'exboss', 'finding', 'daughter', 'plan', 'spend', 'thanksgiving', 'boyfriend', 'claudia', 'larson', 'face', 'spending', 'holiday', 'family', 'wonder', 'survive', 'crazy', 'antic']",972,17519169.0,103.0,"['every', 'yearuntil', 'get', 'right']","['home', 'holiday']",6.3,39.0,11.0,Thursday,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
-1,0,2054,en,"['1965', 'passionate', 'musician', 'glenn', 'holland', 'take', 'day', 'job', 'high', 'school', 'music', 'teacher', 'convinced', 'small', 'obstacle', 'road', 'true', 'calling', 'writing', 'historic', 'opus', 'decade', 'roll', 'composition', 'unwritten', 'generation', 'student', 'inspired', 'teaching', 'holland', 'must', 'redefine', 'life', 'purpose']",83,106269971.0,137.0,"['life', 'changed', 'one', 'changed']","['mr', 'holland', 'opus']",6.9,115.0,12.0,Friday,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
124935,0,11525,en,"['jobe', 'resuscitated', 'jonathan', 'walker', 'want', 'jobe', 'create', 'special', 'computer', 'chip', 'would', 'connect', 'computer', 'world', 'one', 'network', 'walker', 'would', 'control', 'use', 'walker', 'realize', 'group', 'teenage', 'hacker', 'stop', 'plan']",277,2409225.0,92.0,"['god', 'made', 'simple', 'science', 'made', 'god', 'want', 'revenge']","['lawnmower', 'man', '2', 'beyond', 'cyberspace']",2.8,32.0,1.0,Friday,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
43563,3500000,10634,en,"['craig', 'smokey', 'two', 'guy', 'los', 'angeles', 'hanging', 'porch', 'friday', 'afternoon', 'smoking', 'drinking', 'looking', 'something']",277,28215918.0,91.0,"['lot', 'go', 'thursday', 'saturday']",['friday'],7.0,513.0,4.0,Wednesday,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10924,19000000,755,en,"['seth', 'gecko', 'younger', 'brother', 'richard', 'run', 'bloody', 'bank', 'robbery', 'texas', 'escape', 'across', 'border', 'mexico', 'homefree', 'next', 'morning', 'pay', 'local', 'kingpin', 'survive', 'dusk', 'till', 'dawn', 'rendezvous', 'point', 'turn', 'hell', 'strip', 'joint']",96,25836616.0,108.0,"['one', 'night', 'stand', 'freedom', 'going', 'hell', 'night']","['dusk', 'till', 'dawn']",6.9,1644.0,1.0,Friday,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0
-1,50000000,11859,en,"['max', 'kirkpatrick', 'cop', 'protects', 'kate', 'mcquean', 'civil', 'law', 'attorney', 'renegade', 'kgb', 'team', 'terminate']",1184,11534477.0,91.0,"['he', 'cop', 'edge', 'shes', 'woman', 'dangerous', 'secret']","['fair', 'game']",4.1,54.0,11.0,Friday,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
-1,0,28387,en,"['college', 'graduation', 'grovers', 'girlfriend', 'jane', 'tell', 'shes', 'moving', 'prague', 'study', 'writing', 'grover', 'decline', 'accompany', 'deciding', 'instead', 'move', 'several', 'friend', 'quite', 'work', 'inertia', 'escape', 'university', 'pull', 'nobody', 'want', 'make', 'big', 'decision', 'would', 'radically', 'alter', 'life', 'yet', 'none', 'want', 'end', 'like', 'chet', 'professional', 'student', 'tends', 'bar', 'tenth', 'year', 'university', 'study']",11,718490.0,96.0,"['anxiety', 'love', 'company']","['kicking', 'screaming']",7.0,36.0,10.0,Friday,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
-1,0,20927,en,"['seed', 'love', 'planted', 'lisa', 'highpowered', 'investment', 'banker', 'receives', 'flower', 'secret', 'admirer', 'fairytale', 'fantasy', 'clash', 'workaholic', 'way', 'soon', 'find', 'sometimes', 'harder', 'seems', 'love', 'conquer']",277,19030691.0,87.0,"['gave', 'flower', 'gave', 'chance']","['bed', 'rose']",5.1,27.0,1.0,Friday,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
-1,15000000,36929,en,"['writer', 'return', 'hometown', 'face', 'childhood', 'nemesis', 'whose', 'life', 'ultimately', 'ruined', 'bully', 'want', 'relive', 'painful', 'past', 'torturing']",1184,2042530.0,90.0,"['comedy', 'kid', 'u']","['big', 'bully']",3.9,16.0,1.0,Friday,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
122017,20000000,9102,en,"['sirius', '6b', 'year', '2078', 'distant', 'mining', 'planet', 'ravaged', 'decade', 'war', 'scientist', 'created', 'perfect', 'weapon', 'bladewielding', 'selfreplicating', 'race', 'killing', 'device', 'known', 'screamer', 'designed', 'one', 'purpose', 'hunt', 'destroy', 'enemy', 'life', 'form']",11,5781885.0,108.0,"['last', 'scream', 'hear']",['screamer'],6.1,154.0,9.0,Friday,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0
-1,8000000,400,en,"['mafia', 'film', 'tarantino', 'style', 'starstudded', 'cast', 'jimmy', 'saint', 'gangster', 'career', 'finally', 'ended', 'yet', 'find', 'self', 'favor', 'wise', 'godfather', 'known', 'man', 'plan']",182,529766.0,116.0,"['protect', 'love', 'honor', 'avenge']","['thing', 'denver', 'dead']",6.7,87.0,12.0,Friday,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
-1,38000000,10534,en,"['teenage', 'boy', 'discover', 'discipline', 'camaraderie', 'illfated', 'sailing', 'voyage']",83,10300000.0,129.0,[],"['white', 'squall']",6.3,86.0,2.0,Friday,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
-1,0,13997,en,"['dignified', 'albert', 'donnelly', 'run', 'governor', 'team', 'move', 'keep', 'slowwitted', 'klutzy', 'younger', 'brother', 'mike', 'eye', 'medium', 'babysit', 'mike', 'campaign', 'assigns', 'sarcastic', 'steve', 'get', 'experience', 'lifetime', 'try', 'take', 'mike', 'town', 'election']",972,32.0,87.0,"['one', 'every', 'family']","['black', 'sheep']",6.0,124.0,2.0,Thursday,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
-1,8169363,2086,en,"['gene', 'watson', 'public', 'accountant', 'arrives', 'train', 'union', 'station', 'los', 'angeles', 'accompanied', '6yearold', 'daughter', 'lynn', 'ordinary', 'look', 'approached', 'pair', 'sinister', 'people', 'named', 'smith', 'jones']",972,8175346.0,90.0,[],"['nick', 'time']",6.1,190.0,11.0,Wednesday,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-1,47000000,9095,en,"['housemaid', 'fall', 'love', 'dr', 'jekyll', 'darkly', 'mysterious', 'counterpart', 'mr', 'hyde']",196,12379402.0,104.0,"['untold', 'story', 'jekyll', 'hyde']","['mary', 'reilly']",5.7,77.0,2.0,Friday,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-1,14000000,12158,en,"['maximillian', 'lone', 'survivor', 'race', 'vampire', 'come', 'brooklyn', 'search', 'way', 'live', 'past', 'next', 'full', 'moon', 'ticket', 'survival', 'rita', 'nypd', 'detective', 'know', 'shes', 'half', 'vampire', 'maximillian', 'whatevers', 'necessary', 'put', 'spell']",972,19800000.0,100.0,"['comic', 'tale', 'horror', 'seduction']","['vampire', 'brooklyn']",4.5,113.0,10.0,Thursday,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
-1,50000000,9208,en,"['rogue', 'stealthfighter', 'pilot', 'vic', 'deakins', 'deliberately', 'drop', 'radar', 'maneuver', 'air', 'force', 'end', 'two', 'stolen', 'nuclear', 'warhead', 'deakinss', 'copilot', 'riley', 'hale', 'military', 'hope', 'getting', 'back', 'traversing', 'deserted', 'canyon', 'utah', 'hale', 'team', 'park', 'ranger', 'terry', 'carmichael', 'put', 'deakins', 'back', 'box']",812,150270147.0,108.0,"['prepare', 'go', 'ballistic']","['broken', 'arrow']",5.7,459.0,2.0,Friday,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
