,title,tagline,overview,vote_count,vote_average,release_date,runtime,original_language,spoken_lang_en,spoken_lang_fr,spoken_lang_de,spoken_lang_es,spoken_lang_it,spoken_lang_ja,spoken_lang_ru,spoken_lang_other,Drama,Comedy,Thriller,Romance,Action,Horror,Crime,Documentary,Adventure,Science Fiction,Family,Mystery,Fantasy,Animation,Foreign,Music,History,War,Western,TV Movie,production_companies,production_US,production_GB,production_FR,production_DE,production_IT,production_CA,production_JP,production_other,revenue
14,"['cutthroat', 'island']","['course', 'set', 'turning', 'back', 'prepare', 'weapon', 'summon', 'courage', 'discover', 'adventure', 'lifetime']","['morgan', 'adam', 'slave', 'william', 'shaw', 'quest', 'recover', 'three', 'portion', 'treasure', 'map', 'unfortunately', 'final', 'portion', 'held', 'murderous', 'uncle', 'dawg', 'crew', 'skeptical', 'leadership', 'ability', 'must', 'complete', 'quest', 'mutiny', 'made', 'yet', 'difficult', 'effort', 'british', 'crown', 'end', 'pirate', 'raid']",137.0,5.7,1995-12-22,119.0,en,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1076,1,0,1,1,1,0,0,0,10017322.0
15,['casino'],"['one', 'stay', 'top', 'forever']","['life', 'gambling', 'paradise', 'la', 'vega', 'dark', 'mafia', 'underbelly']",1343.0,7.8,1995-11-22,178.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,830,1,0,1,0,0,0,0,0,116112375.0
16,"['sense', 'sensibility']","['lose', 'heart', 'come', 'sens']","['rich', 'mr', 'dashwood', 'dy', 'leaving', 'second', 'wife', 'daughter', 'poor', 'rule', 'inheritance', 'two', 'daughter', 'titular', 'opposite']",364.0,7.2,1995-12-13,136.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,448,1,1,0,0,0,0,0,0,135000000.0
17,"['four', 'room']","['twelve', 'outrageous', 'guest', 'four', 'scandalous', 'request', 'one', 'lone', 'bellhop', 'first', 'day', 'job', 'wildest', 'new', 'year', 'eve', 'life']","['ted', 'bellhop', 'first', 'night', 'joband', 'hotel', 'unusual', 'guest', 'place', 'outrageous', 'predicament', 'seems', 'evening', 'room', 'service', 'serving', 'one', 'unbelievable', 'happening', 'another']",539.0,6.5,1995-12-09,98.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,183,1,0,0,0,0,0,0,0,4300000.0
18,"['ace', 'ventura', 'nature', 'call']","['new', 'animal', 'new', 'adventure', 'hair']","['summoned', 'ashram', 'tibet', 'ace', 'find', 'perilous', 'journey', 'jungle', 'africa', 'find', 'shikaka', 'missing', 'sacred', 'animal', 'friendly', 'wachati', 'tribe', 'must', 'accomplish', 'wedding', 'wachatis', 'princess', 'prince', 'warrior', 'wachootoos', 'ace', 'fails', 'result', 'vicious', 'tribal', 'war']",1128.0,6.1,1995-11-10,90.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1250,1,0,0,0,0,0,0,0,212385533.0
19,"['money', 'train']","['get', 'get', 'way']","['vengeful', 'new', 'york', 'transit', 'cop', 'decides', 'steal', 'trainload', 'subway', 'fare', 'foster', 'brother', 'fellow', 'cop', 'try', 'protect']",224.0,5.4,1995-11-21,103.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,431,1,0,0,0,0,0,0,0,35431113.0
20,"['get', 'shorty']","['mob', 'tough', 'nothing', 'like', 'show', 'business']","['chili', 'palmer', 'miami', 'mobster', 'get', 'sent', 'bos', 'psychopathic', 'bone', 'barboni', 'collect', 'bad', 'debt', 'harry', 'zimm', 'hollywood', 'producer', 'specializes', 'cheesy', 'horror', 'film', 'chili', 'meet', 'harrys', 'leading', 'lady', 'romantic', 'spark', 'fly', 'pitching', 'life', 'story', 'movie', 'idea', 'chili', 'learns', 'mobster', 'hollywood', 'producer', 'really', 'different']",305.0,6.4,1995-10-20,105.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1076,1,0,0,0,0,0,0,0,115101622.0
22,['assassin'],"['shadow', 'life', 'business', 'death', 'one', 'man', 'found', 'reason', 'live']","['assassin', 'robert', 'rath', 'arrives', 'funeral', 'kill', 'prominent', 'mobster', 'witness', 'rival', 'hired', 'gun', 'complete', 'job', 'grisly', 'result', 'horrified', 'murder', 'innocent', 'bystander', 'rath', 'decides', 'take', 'one', 'last', 'job', 'return', 'civilian', 'life', 'finding', 'way', 'world', 'contract', 'killing', 'grows', 'ever', 'dangerous', 'rath', 'fall', 'female', 'target', 'becomes', 'marked', 'man']",394.0,6.0,1995-10-06,132.0,en,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1250,1,0,1,0,0,0,0,0,30303072.0
24,"['leaving', 'la', 'vega']","['love', 'way']","['ben', 'sanderson', 'alcoholic', 'hollywood', 'screenwriter', 'lost', 'everything', 'drinking', 'arrives', 'la', 'vega', 'drink', 'death', 'meet', 'form', 'uneasy', 'friendship', 'noninterference', 'pact', 'prostitute', 'serum']",365.0,7.1,1995-10-27,112.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,279,1,0,0,0,0,0,0,0,49800000.0
26,[],"['every', 'woman', 'girl', 'left', 'behind']","['waxing', 'nostalgic', 'bittersweet', 'passage', 'childhood', 'puberty', 'tender', 'comingofage', 'tale', 'four', 'childhood', 'girlfriend', 'teeny', 'chrissy', 'samantha', 'roberta', 'recall', 'magical', 'summer', '1970', 'walk', 'memory', 'lane', 'reconcile', 'experience', 'boy', 'secret', 'bully']",91.0,6.6,1995-10-20,100.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,277,1,0,0,0,0,0,0,0,27400000.0
28,"['city', 'lost', 'child']","['happily', 'ever', 'dream']","['scientist', 'surrealist', 'society', 'kidnaps', 'child', 'steal', 'dream', 'hoping', 'slow', 'aging', 'process']",308.0,7.6,1995-05-16,108.0,fr,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,163,0,0,1,1,0,0,0,1,1738611.0
30,"['dangerous', 'mind']","['broke', 'rule', 'changed', 'life']","['former', 'marine', 'louanne', 'johnson', 'land', 'gig', 'teaching', 'pilot', 'program', 'bright', 'underachieving', 'teen', 'notorious', 'innercity', 'high', 'school', 'terrible', 'first', 'day', 'decides', 'must', 'throw', 'decorum', 'wind', 'johnson', 'return', 'classroom', 'armed', 'nononsense', 'attitude', 'informed', 'military', 'training', 'fearless', 'determination', 'better', 'life', 'student', 'matter', 'cost']",249.0,6.4,1995-08-11,99.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84,1,0,0,0,0,0,0,0,180000000.0
31,"['twelve', 'monkey']","['future', 'history']","['year', '2035', 'convict', 'james', 'cole', 'reluctantly', 'volunteer', 'sent', 'back', 'time', 'discover', 'origin', 'deadly', 'virus', 'wiped', 'nearly', 'earth', 'population', 'forced', 'survivor', 'underground', 'community', 'cole', 'mistakenly', 'sent', '1990', 'instead', '1996', 'he', 'arrested', 'locked', 'mental', 'hospital', 'meet', 'psychiatrist', 'dr', 'kathryn', 'railly', 'patient', 'jeffrey', 'goines', 'son', 'famous', 'virus', 'expert', 'may', 'hold', 'key', 'mysterious', 'rogue', 'group', 'army', '12', 'monkey', 'thought', 'responsible', 'unleashing', 'killer', 'disease']",2470.0,7.4,1995-12-29,129.0,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,830,1,0,0,0,0,0,0,0,168840000.0
33,['babe'],"['little', 'pig', 'go', 'long', 'way']","['babe', 'little', 'pig', 'quite', 'know', 'place', 'world', 'bunch', 'odd', 'friend', 'like', 'ferdinand', 'duck', 'think', 'rooster', 'fly', 'dog', 'call', 'mom', 'babe', 'realizes', 'making', 'become', 'greatest', 'sheep', 'pig', 'time', 'farmer', 'hogget', 'know', 'help', 'sheep', 'dog', 'babe', 'learns', 'pig', 'anything', 'want']",756.0,6.0,1995-07-18,89.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,830,1,0,0,0,0,0,0,1,254134910.0
35,"['dead', 'man', 'walking']",[],"['justice', 'drama', 'based', 'true', 'story', 'man', 'death', 'row', 'last', 'day', 'form', 'strong', 'relationship', 'nun', 'teach', 'forgiveness', 'give', 'spirituality', 'accompanies', 'execution', 'susan', 'sarandon', 'oscar', 'best', 'female', 'actress', 'convincing', 'portrayal', 'sister', 'helen', 'prejean']",350.0,7.3,1995-12-29,122.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,86,1,1,0,0,0,0,0,0,39363635.0
39,"['cry', 'beloved', 'country']",[],"['southafrican', 'preacher', 'go', 'search', 'wayward', 'son', 'committed', 'crime', 'big', 'city']",13.0,6.7,1995-12-15,106.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0,0,0,0,1,676525.0
43,"['mortal', 'kombat']","['nothing', 'world', 'prepared']","['nine', 'generation', 'evil', 'sorcerer', 'victorious', 'handtohand', 'battle', 'mortal', 'enemy', 'win', 'tenth', 'mortal', 'kombat', 'tournament', 'desolation', 'evil', 'reign', 'multiverse', 'forever', 'save', 'earth', 'three', 'warrior', 'must', 'overcome', 'seemingly', 'insurmountable', 'odds', 'inner', 'demon', 'superhuman', 'foe', 'actionadventure', 'movie', 'based', 'one', 'popular', 'video', 'game', 'time']",452.0,5.4,1995-08-18,101.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,277,1,0,0,0,0,0,0,0,122195920.0
44,['die'],"['wanted', 'little', 'attention']","['susan', 'want', 'work', 'television', 'therefore', 'anything', 'take', 'even', 'mean', 'killing', 'husband', 'dark', 'comedy', 'independent', 'director', 'gu', 'van', 'sant', 'brilliant', 'nicole', 'kidman', 'leading', 'role']",177.0,6.7,1995-05-20,106.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,448,1,0,0,0,0,0,0,0,21284514.0
45,"['make', 'american', 'quilt']","['beauty', 'pattern', 'life']","['soontobewed', 'graduate', 'student', 'finn', 'dodd', 'develops', 'cold', 'foot', 'suspect', 'fiancé', 'cheating', 'order', 'clear', 'head', 'finn', 'visit', 'grandmother', 'hy', 'great', 'aunt', 'glady', 'joe', 'cleary', 'grasse', 'calif', 'finn', 'learns', 'hy', 'glady', 'joe', 'member', 'group', 'passionate', 'quilters', 'course', 'visit', 'regaled', 'tale', 'love', 'life', 'woman', 'collected', 'rich', 'experience', 'much', 'wisdom']",38.0,6.5,1995-10-06,116.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,830,1,0,0,0,0,0,0,0,23574130.0
46,['se7en'],"['seven', 'deadly', 'sin', 'seven', 'way', 'die']","['two', 'homicide', 'detective', 'desperate', 'hunt', 'serial', 'killer', 'whose', 'crime', 'based', 'seven', 'deadly', 'sin', 'dark', 'haunting', 'film', 'take', 'viewer', 'tortured', 'remains', 'one', 'victim', 'next', 'seasoned', 'det', 'sommerset', 'research', 'sin', 'effort', 'get', 'inside', 'killer', 'mind', 'novice', 'partner', 'mill', 'scoff', 'effort', 'unravel', 'case']",5915.0,8.1,1995-09-22,127.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,277,1,0,0,0,0,0,0,0,327311859.0
47,['pocahontas'],"['american', 'legend', 'come', 'life']","['history', 'come', 'gloriously', 'life', 'disney', 'epic', 'animated', 'tale', 'love', 'adventure', 'new', 'world', 'pocahontas', 'native', 'american', 'woman', 'whose', 'father', 'arranged', 'marry', 'village', 'best', 'warrior', 'vision', 'tell', 'change', 'coming', 'soon', 'come', 'face', 'face', 'form', 'capt', 'john', 'smith']",1509.0,6.7,1995-06-14,81.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,263,1,0,0,0,0,0,0,0,346079773.0
49,"['usual', 'suspect']","['five', 'criminal', 'one', 'line', 'coincidence']","['held', 'la', 'interrogation', 'room', 'verbal', 'kint', 'attempt', 'convince', 'fed', 'mythic', 'crime', 'lord', 'keyser', 'soze', 'exists', 'also', 'responsible', 'drawing', 'four', 'partner', 'multimillion', 'dollar', 'heist', 'ended', 'explosion', 'san', 'pedro', 'harbor', 'leaving', 'survivor', 'verbal', 'lure', 'interrogator', 'incredible', 'story', 'crime', 'lord', 'almost', 'supernatural', 'prowess']",3334.0,8.1,1995-07-19,106.0,en,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,0,0,0,0,0,0,0,23341568.0
51,"['mighty', 'aphrodite']",[],"['lenny', 'wife', 'amanda', 'adopt', 'baby', 'lenny', 'realizes', 'son', 'genius', 'becomes', 'obsessed', 'finding', 'boy', 'biological', 'mother', 'hope', 'brilliant', 'learns', 'max', 'mother', 'linda', 'ash', 'kindhearted', 'prostitute', 'porn', 'star', 'lenny', 'determined', 'reform', 'immoral', 'lifestyle', 'greek', 'chorus', 'chime', 'relate', 'plot', 'greek', 'mythology', 'quirky', 'comedy']",145.0,6.7,1995-09-13,95.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,183,1,0,0,0,0,0,0,0,6700000.0
56,"['home', 'holiday']","['every', 'yearuntil', 'get', 'right']","['losing', 'job', 'making', 'soon', 'exboss', 'finding', 'daughter', 'plan', 'spend', 'thanksgiving', 'boyfriend', 'claudia', 'larson', 'face', 'spending', 'holiday', 'family', 'wonder', 'survive', 'crazy', 'antic']",39.0,6.3,1995-11-02,103.0,en,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1003,1,0,0,0,0,0,0,0,17519169.0
61,"['mr', 'holland', 'opus']","['life', 'changed', 'one', 'changed']","['1965', 'passionate', 'musician', 'glenn', 'holland', 'take', 'day', 'job', 'high', 'school', 'music', 'teacher', 'convinced', 'small', 'obstacle', 'road', 'true', 'calling', 'writing', 'historic', 'opus', 'decade', 'roll', 'composition', 'unwritten', 'generation', 'student', 'inspired', 'teaching', 'holland', 'must', 'redefine', 'life', 'purpose']",115.0,6.9,1995-12-29,137.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84,1,0,0,0,0,0,0,0,106269971.0
65,"['lawnmower', 'man', '2', 'beyond', 'cyberspace']","['god', 'made', 'simple', 'science', 'made', 'god', 'want', 'revenge']","['jobe', 'resuscitated', 'jonathan', 'walker', 'want', 'jobe', 'create', 'special', 'computer', 'chip', 'would', 'connect', 'computer', 'world', 'one', 'network', 'walker', 'would', 'control', 'use', 'walker', 'realize', 'group', 'teenage', 'hacker', 'stop', 'plan']",32.0,2.8,1996-01-12,92.0,en,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,277,1,0,0,0,0,0,0,0,2409225.0
68,['friday'],"['lot', 'go', 'thursday', 'saturday']","['craig', 'smokey', 'two', 'guy', 'los', 'angeles', 'hanging', 'porch', 'friday', 'afternoon', 'smoking', 'drinking', 'looking', 'something']",513.0,7.0,1995-04-26,91.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,277,1,0,0,0,0,0,0,0,28215918.0
69,"['dusk', 'till', 'dawn']","['one', 'night', 'stand', 'freedom', 'going', 'hell', 'night']","['seth', 'gecko', 'younger', 'brother', 'richard', 'run', 'bloody', 'bank', 'robbery', 'texas', 'escape', 'across', 'border', 'mexico', 'homefree', 'next', 'morning', 'pay', 'local', 'kingpin', 'survive', 'dusk', 'till', 'dawn', 'rendezvous', 'point', 'turn', 'hell', 'strip', 'joint']",1644.0,6.9,1996-01-19,108.0,en,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,96,1,0,0,0,0,0,0,0,25836616.0
70,"['fair', 'game']","['he', 'cop', 'edge', 'shes', 'woman', 'dangerous', 'secret']","['max', 'kirkpatrick', 'cop', 'protects', 'kate', 'mcquean', 'civil', 'law', 'attorney', 'renegade', 'kgb', 'team', 'terminate']",54.0,4.1,1995-11-03,91.0,en,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1250,1,0,0,0,0,0,0,0,11534477.0
71,"['kicking', 'screaming']","['anxiety', 'love', 'company']","['college', 'graduation', 'grovers', 'girlfriend', 'jane', 'tell', 'shes', 'moving', 'prague', 'study', 'writing', 'grover', 'decline', 'accompany', 'deciding', 'instead', 'move', 'several', 'friend', 'quite', 'work', 'inertia', 'escape', 'university', 'pull', 'nobody', 'want', 'make', 'big', 'decision', 'would', 'radically', 'alter', 'life', 'yet', 'none', 'want', 'end', 'like', 'chet', 'professional', 'student', 'tends', 'bar', 'tenth', 'year', 'university', 'study']",36.0,7.0,1995-10-06,96.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,0,0,0,0,0,718490.0
73,"['bed', 'rose']","['gave', 'flower', 'gave', 'chance']","['seed', 'love', 'planted', 'lisa', 'highpowered', 'investment', 'banker', 'receives', 'flower', 'secret', 'admirer', 'fairytale', 'fantasy', 'clash', 'workaholic', 'way', 'soon', 'find', 'sometimes', 'harder', 'seems', 'love', 'conquer']",27.0,5.1,1996-01-26,87.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,277,1,0,0,0,0,0,0,0,19030691.0
74,"['big', 'bully']","['comedy', 'kid', 'u']","['writer', 'return', 'hometown', 'face', 'childhood', 'nemesis', 'whose', 'life', 'ultimately', 'ruined', 'bully', 'want', 'relive', 'painful', 'past', 'torturing']",16.0,3.9,1996-01-26,90.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1250,1,0,0,0,0,0,0,0,2042530.0
75,['screamer'],"['last', 'scream', 'hear']","['sirius', '6b', 'year', '2078', 'distant', 'mining', 'planet', 'ravaged', 'decade', 'war', 'scientist', 'created', 'perfect', 'weapon', 'bladewielding', 'selfreplicating', 'race', 'killing', 'device', 'known', 'screamer', 'designed', 'one', 'purpose', 'hunt', 'destroy', 'enemy', 'life', 'form']",154.0,6.1,1995-09-08,108.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0,0,0,0,1,1,0,5781885.0
80,"['thing', 'denver', 'dead']","['protect', 'love', 'honor', 'avenge']","['mafia', 'film', 'tarantino', 'style', 'starstudded', 'cast', 'jimmy', 'saint', 'gangster', 'career', 'finally', 'ended', 'yet', 'find', 'self', 'favor', 'wise', 'godfather', 'known', 'man', 'plan']",87.0,6.7,1995-12-01,116.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,183,1,0,0,0,0,0,0,0,529766.0
85,"['white', 'squall']",[],"['teenage', 'boy', 'discover', 'discipline', 'camaraderie', 'illfated', 'sailing', 'voyage']",86.0,6.3,1996-02-02,129.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84,1,1,0,0,0,0,0,0,10300000.0
87,"['black', 'sheep']","['one', 'every', 'family']","['dignified', 'albert', 'donnelly', 'run', 'governor', 'team', 'move', 'keep', 'slowwitted', 'klutzy', 'younger', 'brother', 'mike', 'eye', 'medium', 'babysit', 'mike', 'campaign', 'assigns', 'sarcastic', 'steve', 'get', 'experience', 'lifetime', 'try', 'take', 'mike', 'town', 'election']",124.0,6.0,1996-02-01,87.0,en,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1003,1,0,0,0,0,0,0,0,32.0
88,"['nick', 'time']",[],"['gene', 'watson', 'public', 'accountant', 'arrives', 'train', 'union', 'station', 'los', 'angeles', 'accompanied', '6yearold', 'daughter', 'lynn', 'ordinary', 'look', 'approached', 'pair', 'sinister', 'people', 'named', 'smith', 'jones']",190.0,6.1,1995-11-22,90.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1003,1,0,0,0,0,0,0,0,8175346.0
